home;away;weight1;weight2
Albacete;Oviedo;2.0;6.0
Ath Madrid;Zaragoza;23.0;27.0
Celta;Ath Bilbao;57.0;73.0
Compostela;Valencia;19.0;15.0
Espanol;La Coruna;48.0;61.0
Salamanca;Barcelona;16.0;10.0
Santander;Vallecano;20.0;19.0
Sevilla;Valladolid;31.0;32.0
Sociedad;Real Madrid;115.0;103.0
Ath Bilbao;Compostela;6.0;6.0
Barcelona;Tenerife;15.0;7.0
Betis;Albacete;7.0;8.0
La Coruna;Celta;37.0;45.0
Merida;Sevilla;5.0;3.0
Real Madrid;Santander;35.0;25.0
Valencia;Salamanca;11.0;9.0
Valladolid;Espanol;33.0;47.0
Vallecano;Ath Madrid;48.0;56.0
Zaragoza;Sp Gijon;18.0;15.0
Oviedo;Sociedad;17.0;18.0
Albacete;Barcelona;15.0;18.0
Ath Madrid;Real Madrid;90.0;101.0
Celta;Valladolid;31.0;27.0
Espanol;Merida;1.0;2.0
La Coruna;Ath Bilbao;52.0;50.0
Salamanca;Compostela;3.0;7.0
Santander;Oviedo;7.0;12.0
Sevilla;Zaragoza;33.0;32.0
Sociedad;Betis;60.0;61.0
Sp Gijon;Vallecano;9.0;7.0
Tenerife;Valencia;14.0;13.0
Barcelona;Sociedad;46.0;32.0
Oviedo;Ath Madrid;22.0;18.0
Zaragoza;Espanol;43.0;42.0
Ath Bilbao;Salamanca;5.0;7.0
Betis;Santander;30.0;28.0
Compostela;Tenerife;17.0;14.0
Merida;Celta;4.0;6.0
Real Madrid;Sp Gijon;10.0;9.0
Valencia;Albacete;2.0;3.0
Valladolid;La Coruna;31.0;33.0
Vallecano;Sevilla;47.0;48.0
Santander;Barcelona;66.0;74.0
Sevilla;Real Madrid;127.0;105.0
Albacete;Compostela;4.0;3.0
Ath Madrid;Betis;40.0;43.0
Celta;Zaragoza;17.0;23.0
Espanol;Vallecano;33.0;28.0
La Coruna;Merida;3.0;6.0
Sociedad;Valencia;70.0;73.0
Sp Gijon;Oviedo;6.0;14.0
Tenerife;Salamanca;4.0;3.0
Valladolid;Ath Bilbao;50.0;56.0
Barcelona;Ath Madrid;67.0;52.0
Valencia;Santander;36.0;43.0
Ath Bilbao;Tenerife;12.0;10.0
Betis;Sp Gijon;20.0;12.0
Compostela;Sociedad;14.0;12.0
Merida;Valladolid;1.0;3.0
Oviedo;Sevilla;10.0;7.0
Real Madrid;Espanol;41.0;33.0
Salamanca;Albacete;7.0;4.0
Vallecano;Celta;30.0;26.0
Zaragoza;La Coruna;46.0;47.0
Ath Madrid;Valencia;72.0;71.0
Albacete;Tenerife;1.0;1.0
Celta;Real Madrid;101.0;98.0
La Coruna;Vallecano;20.0;16.0
Merida;Ath Bilbao;6.0;5.0
Santander;Compostela;9.0;9.0
Sevilla;Betis;42.0;38.0
Sociedad;Salamanca;4.0;3.0
Sp Gijon;Barcelona;53.0;50.0
Valladolid;Zaragoza;20.0;24.0
Compostela;Ath Madrid;15.0;12.0
Valencia;Sp Gijon;17.0;14.0
Ath Bilbao;Albacete;8.0;9.0
Barcelona;Sevilla;45.0;29.0
Betis;Espanol;67.0;70.0
Oviedo;Celta;26.0;22.0
Real Madrid;La Coruna;54.0;40.0
Salamanca;Santander;9.0;13.0
Tenerife;Sociedad;9.0;13.0
Vallecano;Valladolid;34.0;32.0
Zaragoza;Merida;3.0;2.0
Espanol;Oviedo;11.0;10.0
Ath Madrid;Salamanca;10.0;7.0
Celta;Betis;49.0;53.0
La Coruna;Oviedo;10.0;4.0
Merida;Vallecano;5.0;6.0
Santander;Tenerife;15.0;16.0
Sevilla;Valencia;65.0;76.0
Sociedad;Albacete;12.0;10.0
Sp Gijon;Compostela;9.0;13.0
Valladolid;Real Madrid;87.0;83.0
Zaragoza;Ath Bilbao;43.0;47.0
Espanol;Barcelona;110.0;120.0
Tenerife;Ath Madrid;17.0;16.0
Albacete;Santander;8.0;6.0
Barcelona;Celta;60.0;45.0
Betis;La Coruna;44.0;52.0
Compostela;Sevilla;0.0;1.0
Oviedo;Valladolid;20.0;22.0
Real Madrid;Merida;4.0;2.0
Salamanca;Sp Gijon;4.0;4.0
Sociedad;Ath Bilbao;67.0;65.0
Valencia;Espanol;72.0;66.0
Vallecano;Zaragoza;27.0;26.0
Ath Bilbao;Vallecano;36.0;23.0
Ath Madrid;Albacete;3.0;2.0
Celta;Valencia;65.0;77.0
Espanol;Compostela;8.0;11.0
Santander;Sociedad;39.0;53.0
Sevilla;Salamanca;5.0;3.0
Sp Gijon;Tenerife;20.0;21.0
Valladolid;Betis;48.0;60.0
Zaragoza;Real Madrid;71.0;68.0
La Coruna;Barcelona;93.0;77.0
Merida;Oviedo;4.0;4.0
Hercules;Extremadura;1.0;1.0
Zaragoza;Logrones;3.0;1.0
Logrones;Tenerife;3.0;6.0
Real Madrid;Hercules;3.0;0.0
Extremadura;Betis;8.0;7.0
Compostela;Logrones;3.0;4.0
Hercules;Celta;5.0;6.0
Vallecano;Extremadura;1.0;3.0
Logrones;Ath Madrid;5.0;6.0
Extremadura;Oviedo;4.0;10.0
La Coruna;Hercules;2.0;3.0
Espanol;Extremadura;5.0;7.0
Logrones;Sevilla;1.0;0.0
Ath Madrid;Hercules;5.0;3.0
Extremadura;Santander;10.0;9.0
Hercules;Betis;3.0;6.0
Valencia;Logrones;3.0;6.0
Logrones;Sp Gijon;4.0;6.0
Sociedad;Extremadura;2.0;6.0
Vallecano;Hercules;2.0;3.0
Extremadura;Zaragoza;9.0;9.0
Hercules;Oviedo;3.0;4.0
Barcelona;Logrones;0.0;0.0
Espanol;Hercules;2.0;1.0
Logrones;Valladolid;3.0;6.0
Tenerife;Extremadura;5.0;7.0
Ath Bilbao;Logrones;1.0;0.0
Extremadura;Compostela;5.0;4.0
Hercules;Santander;5.0;7.0
Logrones;Extremadura;3.0;4.0
Sociedad;Hercules;8.0;9.0
Extremadura;Sevilla;1.0;4.0
Hercules;Zaragoza;4.0;5.0
Real Madrid;Logrones;0.0;1.0
Tenerife;Hercules;4.0;3.0
Valencia;Extremadura;3.0;8.0
Logrones;Celta;7.0;6.0
Extremadura;Sp Gijon;3.0;4.0
Hercules;Compostela;2.0;1.0
La Coruna;Logrones;2.0;0.0
Logrones;Hercules;3.0;3.0
Barcelona;Extremadura;2.0;0.0
Betis;Logrones;3.0;3.0
Extremadura;Valladolid;5.0;6.0
Hercules;Sevilla;6.0;6.0
Ath Bilbao;Extremadura;1.0;2.0
Logrones;Vallecano;3.0;6.0
Valencia;Hercules;1.0;0.0
Extremadura;Ath Madrid;11.0;7.0
Hercules;Sp Gijon;5.0;8.0
Oviedo;Logrones;2.0;1.0
Extremadura;Real Madrid;12.0;10.0
Logrones;Espanol;5.0;3.0
Barcelona;Hercules;7.0;9.0
