home;away;weight1;weight2
Corinthians;Piracicaba;3.0;2.0
Ferroviaria;Mogi Mirim;1.0;0.0
Novorizontino;Botafogo SP;12.0;14.0
Palmeiras;Sao Bento;3.0;3.0
Sao Paulo;Agua Santa;1.0;1.0
Sao Bento;Novorizontino;1.0;1.0
Oeste;Palmeiras;8.0;10.0
Ferroviaria;Rio Claro;1.0;0.0
Botafogo SP;Sao Bernardo;5.0;10.0
Piracicaba;Agua Santa;0.0;1.0
Corinthians;Capivariano;3.0;0.0
Ituano;Oeste;4.0;6.0
Rio Claro;Audax-SP;2.0;4.0
Novorizontino;Santos;11.0;5.0
Sao Bento;Sao Bernardo;4.0;7.0
Agua Santa;Capivariano;1.0;0.0
Ponte Preta;Botafogo SP;7.0;10.0
Piracicaba;Rio Claro;6.0;7.0
Mogi Mirim;Linense;6.0;6.0
Sao Bernardo;Linense;4.0;4.0
Piracicaba;RB Brasil;3.0;0.0
Ponte Preta;Sao Bento;5.0;4.0
Audax-SP;Agua Santa;2.0;3.0
Novorizontino;Oeste;3.0;2.0
Linense;Agua Santa;0.0;0.0
Capivariano;Sao Bernardo;1.0;1.0
Sao Paulo;Novorizontino;5.0;6.0
Botafogo SP;RB Brasil;6.0;9.0
Oeste;Rio Claro;2.0;3.0
Audax-SP;Ponte Preta;4.0;6.0
Santos;Mogi Mirim;6.0;3.0
Agua Santa;Sao Bento;3.0;2.0
Corinthians;Oeste;1.0;0.0
Sao Paulo;Sao Bernardo;7.0;7.0
Oeste;Agua Santa;0.0;0.0
Ponte Preta;Piracicaba;8.0;10.0
Ferroviaria;Novorizontino;8.0;11.0
Linense;RB Brasil;5.0;6.0
Sao Bento;Rio Claro;0.0;0.0
Santos;Agua Santa;2.0;1.0
Sao Paulo;Palmeiras;19.0;30.0
Capivariano;Novorizontino;2.0;1.0
Mogi Mirim;Oeste;0.0;1.0
Piracicaba;Santos;7.0;12.0
Agua Santa;Botafogo SP;2.0;2.0
Novorizontino;Piracicaba;1.0;1.0
RB Brasil;Oeste;4.0;3.0
Mogi Mirim;Sao Bento;4.0;4.0
Ituano;Sao Paulo;12.0;16.0
Ferroviaria;Sao Bernardo;3.0;7.0
Oeste;Capivariano;2.0;3.0
Sao Bento;Ferroviaria;2.0;2.0
Sao Bernardo;Corinthians;9.0;12.0
Sao Paulo;Botafogo SP;8.0;8.0
Palmeiras;RB Brasil;7.0;7.0
Novorizontino;Agua Santa;1.0;3.0
Rio Claro;Sao Bernardo;9.0;4.0
Ferroviaria;Oeste;2.0;0.0
Corinthians;Ituano;7.0;3.0
Sao Bento;Piracicaba;1.0;0.0
Agua Santa;Palmeiras;10.0;12.0
RB Brasil;Ponte Preta;5.0;9.0
Mogi Mirim;Novorizontino;3.0;3.0
Agua Santa;Ituano;5.0;4.0
Oeste;Audax-SP;4.0;6.0
Capivariano;Sao Bento;3.0;4.0
Ponte Preta;Agua Santa;3.0;3.0
Sao Bernardo;RB Brasil;4.0;3.0
Novorizontino;Rio Claro;0.0;0.0
Ituano;Mogi Mirim;1.0;3.0
Ferroviaria;Botafogo SP;7.0;11.0
Capivariano;Santos;5.0;3.0
Sao Bento;Sao Paulo;8.0;12.0
Rio Claro;Ponte Preta;3.0;6.0
RB Brasil;Ituano;5.0;7.0
Oeste;Piracicaba;4.0;4.0
Mogi Mirim;Palmeiras;7.0;7.0
Linense;Ferroviaria;2.0;4.0
Botafogo SP;Capivariano;1.0;0.0
Agua Santa;Sao Bernardo;2.0;6.0
Corinthians;Audax-SP;2.0;1.0
Novorizontino;Ponte Preta;7.0;9.0
Ferroviaria;Inter de Limeira;4.0;5.0
Guarani;Ituano;11.0;12.0
Mirassol;Novorizontino;5.0;8.0
Inter de Limeira;Sao Paulo;9.0;7.0
Sao Caetano;Bragantino;9.0;8.0
Botafogo SP;Guarani;6.0;6.0
Ponte Preta;Santo Andre;7.0;7.0
Inter de Limeira;Novorizontino;2.0;3.0
Ituano;Mirassol;6.0;9.0
Guarani;Bragantino;8.0;16.0
Santo Andre;Sao Caetano;0.0;1.0
Palmeiras;Sao Caetano;2.0;4.0
Guarani;Sao Bento;0.0;1.0
Mirassol;Inter de Limeira;3.0;4.0
Sao Caetano;Corinthians;8.0;8.0
Bragantino;Santo Andre;4.0;7.0
Sao Paulo;Sao Caetano;5.0;4.0
Guarani;Corinthians;6.0;10.0
Sao Paulo;Bragantino;11.0;12.0
Sao Caetano;Novorizontino;5.0;9.0
Sao Paulo;Guarani;7.0;6.0
Ituano;Botafogo SP;13.0;15.0
Inter de Limeira;Bragantino;6.0;6.0
Corinthians;Sao Bento;4.0;6.0
Bragantino;Mirassol;8.0;11.0
Santos;Inter de Limeira;1.0;1.0
Sao Bento;Sao Caetano;3.0;5.0
Novorizontino;Santo Andre;2.0;1.0
Ferroviaria;Guarani;5.0;7.0
Inter de Limeira;Ituano;2.0;3.0
Mirassol;Botafogo SP;9.0;5.0
Sao Caetano;Ponte Preta;5.0;6.0
Guarani;Palmeiras;9.0;13.0
Bragantino;Ferroviaria;1.0;3.0
Botafogo SP;Sao Caetano;1.0;2.0
Ponte Preta;Inter de Limeira;5.0;7.0
Santo Andre;Guarani;5.0;6.0
Sao Caetano;Ituano;4.0;7.0
Ponte Preta;Mirassol;5.0;8.0
Palmeiras;Inter de Limeira;1.0;5.0
Bragantino;Santos;12.0;9.0
Santo Andre;Palmeiras;7.0;12.0
Guarani;Novorizontino;3.0;1.0
Mirassol;Ferroviaria;10.0;8.0
Inter de Limeira;Sao Caetano;0.0;0.0
Ponte Preta;Guarani;8.0;6.0
Sao Bento;Inter de Limeira;1.0;0.0
Santo Andre;Mirassol;8.0;8.0
Sao Caetano;Ferroviaria;5.0;6.0
Mirassol;Sao Paulo;20.0;17.0
Inter de Limeira;Guarani;11.0;9.0
Corinthians;Inter de Limeira;2.0;4.0
Mirassol;Guarani;6.0;5.0
Bragantino;Palmeiras;14.0;23.0
Sao Paulo;Ferroviaria;5.0;2.0
Agua Santa;Novorizontino;6.0;6.0
Santo Andre;Ferroviaria;9.0;6.0
Guarani;Santos;8.0;10.0
Bragantino;Inter de Limeira;2.0;3.0
Santo Andre;Agua Santa;3.0;4.0
Palmeiras;Oeste;1.0;1.0
Ferroviaria;Sao Paulo;9.0;11.0
Novorizontino;Bragantino;6.0;8.0
Oeste;Ferroviaria;9.0;9.0
Guarani;Santo Andre;5.0;6.0
Inter de Limeira;Ponte Preta;3.0;1.0
Oeste;Guarani;4.0;2.0
Mirassol;Bragantino;4.0;5.0
Santo Andre;Sao Paulo;9.0;12.0
Inter de Limeira;Santo Andre;4.0;10.0
Botafogo SP;Agua Santa;5.0;8.0
Bragantino;Oeste;2.0;2.0
Ferroviaria;Santos;12.0;11.0
Palmeiras;Guarani;2.0;1.0
Botafogo SP;Inter de Limeira;4.0;3.0
Agua Santa;Corinthians;4.0;3.0
Oeste;Sao Paulo;11.0;12.0
Santo Andre;Bragantino;4.0;7.0
Guarani;Agua Santa;0.0;1.0
Bragantino;Ituano;10.0;12.0
Mirassol;Oeste;3.0;4.0
Ituano;Guarani;6.0;6.0
Santo Andre;Oeste;1.0;3.0
Novorizontino;Corinthians;9.0;16.0
Santos;Mirassol;6.0;3.0
Agua Santa;Inter de Limeira;1.0;1.0
