home;away;weight1;weight2
Ponte Preta;Coritiba FC;17.0;19.0
Ponte Preta;Fluminense;21.0;22.0
Ponte Preta;Vasco da Gama;19.0;21.0
Ponte Preta;Botafogo;19.0;21.0
Ponte Preta;Atlético-MG;29.0;31.0
Ponte Preta;Atlético-GO;8.0;7.0
Ponte Preta;Flamengo;14.0;19.0
Ponte Preta;Santos FC;27.0;27.0
Ponte Preta;Avaí FC;3.0;7.0
Ponte Preta;Corinthians;29.0;27.0
Ponte Preta;Grêmio;19.0;24.0
Ponte Preta;Atlético-PR;29.0;23.0
Ponte Preta;EC Vitória;14.0;13.0
Avaí FC;EC Vitória;3.0;5.0
Avaí FC;Sport Recife;8.0;5.0
Avaí FC;Flamengo;27.0;20.0
Avaí FC;Fluminense;26.0;31.0
Avaí FC;Ponte Preta;3.0;4.0
Avaí FC;Coritiba FC;18.0;20.0
Avaí FC;Corinthians;23.0;23.0
Avaí FC;Cruzeiro;18.0;17.0
Avaí FC;Santos FC;25.0;23.0
Avaí FC;São Paulo;18.0;24.0
Avaí FC;Chapecoense;5.0;10.0
Avaí FC;Atlético-MG;23.0;28.0
Avaí FC;Atlético-GO;13.0;14.0
Avaí FC;Vasco da Gama;11.0;19.0
Avaí FC;Botafogo;16.0;21.0
Avaí FC;Grêmio;27.0;24.0
Avaí FC;EC Bahia;11.0;14.0
Avaí FC;Palmeiras;35.0;30.0
Avaí FC;Atlético-PR;12.0;16.0
Coritiba FC;Vasco da Gama;29.0;31.0
Flamengo;Atlético-MG;52.0;53.0
Flamengo;Fluminense;47.0;52.0
Flamengo;Vasco da Gama;29.0;32.0
Fluminense;Santos FC;53.0;49.0
Fluminense;EC Vitória;26.0;19.0
Fluminense;Atlético-PR;35.0;31.0
Fluminense;Grêmio;49.0;60.0
Fluminense;Flamengo;57.0;61.0
Fluminense;Botafogo;37.0;48.0
Fluminense;Corinthians;45.0;55.0
Fluminense;Atlético-GO;18.0;21.0
Fluminense;Atlético-MG;58.0;58.0
Fluminense;Vasco da Gama;43.0;52.0
Fluminense;Palmeiras;48.0;54.0
Fluminense;Avaí FC;10.0;10.0
Fluminense;São Paulo;47.0;50.0
Fluminense;EC Bahia;17.0;19.0
Fluminense;Coritiba FC;44.0;43.0
Fluminense;Ponte Preta;22.0;22.0
Fluminense;Sport Recife;18.0;21.0
Vasco da Gama;Botafogo;42.0;36.0
Vasco da Gama;Coritiba FC;28.0;28.0
Vasco da Gama;EC Vitória;28.0;28.0
Botafogo;Ponte Preta;14.0;18.0
Botafogo;EC Bahia;26.0;30.0
Botafogo;Coritiba FC;24.0;20.0
Botafogo;Vasco da Gama;38.0;36.0
Botafogo;Avaí FC;12.0;12.0
Botafogo;Atlético-MG;44.0;43.0
Botafogo;Sport Recife;18.0;17.0
Botafogo;São Paulo;55.0;54.0
Botafogo;Palmeiras;47.0;57.0
Botafogo;Grêmio;54.0;53.0
Botafogo;Flamengo;41.0;57.0
Botafogo;Santos FC;40.0;48.0
Botafogo;EC Vitória;30.0;26.0
Botafogo;Chapecoense;7.0;10.0
Botafogo;Corinthians;41.0;44.0
Botafogo;Fluminense;35.0;48.0
Botafogo;Atlético-PR;31.0;43.0
Botafogo;Atlético-GO;14.0;14.0
Botafogo;Cruzeiro;36.0;45.0
São Paulo;Avaí FC;8.0;12.0
São Paulo;Palmeiras;49.0;51.0
São Paulo;EC Vitória;16.0;9.0
São Paulo;Atlético-MG;41.0;51.0
São Paulo;Fluminense;57.0;59.0
São Paulo;Atlético-GO;20.0;15.0
São Paulo;Vasco da Gama;30.0;29.0
São Paulo;Grêmio;43.0;50.0
São Paulo;Coritiba FC;37.0;30.0
São Paulo;Cruzeiro;35.0;30.0
São Paulo;Ponte Preta;13.0;18.0
São Paulo;Corinthians;48.0;48.0
São Paulo;Sport Recife;10.0;11.0
São Paulo;EC Bahia;21.0;25.0
Sport Recife;Cruzeiro;21.0;34.0
Sport Recife;Grêmio;33.0;24.0
Sport Recife;Flamengo;37.0;43.0
Sport Recife;São Paulo;32.0;50.0
Sport Recife;EC Vitória;11.0;18.0
Sport Recife;Atlético-PR;15.0;22.0
Sport Recife;Atlético-GO;5.0;9.0
Sport Recife;Fluminense;36.0;39.0
Sport Recife;Ponte Preta;9.0;9.0
Sport Recife;Avaí FC;9.0;11.0
Sport Recife;Vasco da Gama;25.0;27.0
Sport Recife;Atlético-MG;44.0;41.0
Sport Recife;Santos FC;25.0;30.0
Sport Recife;Coritiba FC;19.0;18.0
Sport Recife;Botafogo;28.0;32.0
Sport Recife;EC Bahia;8.0;10.0
Sport Recife;Corinthians;37.0;35.0
EC Bahia;Avaí FC;6.0;2.0
Cruzeiro;São Paulo;52.0;66.0
Cruzeiro;Chapecoense;15.0;18.0
Cruzeiro;Atlético-GO;7.0;7.0
Cruzeiro;Grêmio;43.0;47.0
Cruzeiro;Coritiba FC;33.0;28.0
Cruzeiro;Palmeiras;40.0;37.0
Cruzeiro;Flamengo;45.0;51.0
Cruzeiro;EC Vitória;17.0;14.0
Cruzeiro;Botafogo;32.0;33.0
Cruzeiro;Sport Recife;9.0;16.0
Cruzeiro;Santos FC;45.0;44.0
Cruzeiro;EC Bahia;14.0;12.0
Cruzeiro;Corinthians;34.0;51.0
Cruzeiro;Ponte Preta;16.0;17.0
Cruzeiro;Atlético-MG;48.0;45.0
Cruzeiro;Atlético-PR;40.0;36.0
Cruzeiro;Fluminense;50.0;53.0
Cruzeiro;Avaí FC;12.0;11.0
Cruzeiro;Vasco da Gama;34.0;27.0
Atlético-MG;Corinthians;43.0;56.0
Coritiba FC;Atlético-GO;12.0;15.0
Coritiba FC;Atlético-PR;23.0;31.0
Coritiba FC;Palmeiras;27.0;35.0
Coritiba FC;EC Bahia;22.0;21.0
Coritiba FC;Corinthians;43.0;56.0
Coritiba FC;Sport Recife;22.0;27.0
Coritiba FC;Fluminense;41.0;31.0
Coritiba FC;Atlético-MG;43.0;51.0
Coritiba FC;Chapecoense;9.0;13.0
Coritiba FC;Santos FC;40.0;43.0
Coritiba FC;EC Vitória;14.0;23.0
Coritiba FC;Botafogo;38.0;47.0
Coritiba FC;Grêmio;28.0;35.0
Coritiba FC;Cruzeiro;39.0;40.0
Coritiba FC;Avaí FC;7.0;8.0
Coritiba FC;Ponte Preta;20.0;19.0
Coritiba FC;Flamengo;44.0;51.0
Coritiba FC;São Paulo;45.0;45.0
Atlético-GO;Ponte Preta;5.0;4.0
Atlético-GO;Avaí FC;11.0;8.0
Atlético-GO;Atlético-PR;12.0;16.0
Atlético-GO;Santos FC;13.0;13.0
Atlético-GO;Atlético-MG;32.0;30.0
Atlético-GO;Botafogo;17.0;17.0
Atlético-GO;Grêmio;12.0;19.0
Atlético-GO;Coritiba FC;14.0;15.0
Atlético-GO;EC Bahia;12.0;15.0
Atlético-GO;Palmeiras;25.0;24.0
Atlético-GO;Sport Recife;9.0;12.0
Atlético-GO;Chapecoense;3.0;2.0
Atlético-GO;Fluminense;19.0;18.0
Flamengo;Botafogo;30.0;33.0
Vasco da Gama;Atlético-PR;41.0;35.0
Vasco da Gama;Cruzeiro;51.0;48.0
Vasco da Gama;Palmeiras;47.0;50.0
Palmeiras;Grêmio;31.0;35.0
Palmeiras;Coritiba FC;26.0;38.0
Palmeiras;Ponte Preta;12.0;15.0
Santos FC;Botafogo;29.0;36.0
Santos FC;Ponte Preta;18.0;21.0
Santos FC;EC Bahia;16.0;15.0
Santos FC;Flamengo;39.0;52.0
Santos FC;Fluminense;45.0;46.0
Santos FC;EC Vitória;27.0;18.0
São Paulo;Atlético-PR;31.0;39.0
São Paulo;Flamengo;46.0;49.0
São Paulo;Santos FC;51.0;49.0
São Paulo;Chapecoense;12.0;18.0
São Paulo;Botafogo;40.0;42.0
Paraná;Fluminense;12.0;11.0
Paraná;Goiás EC;11.0;13.0
Paraná;Vasco da Gama;11.0;13.0
Paraná;São Paulo;25.0;25.0
Botafogo;Figueirense FC;21.0;34.0
Botafogo;Internacional;44.0;55.0
Cruzeiro;Paraná;39.0;38.0
Fortaleza;Coritiba FC;10.0;11.0
Fortaleza;Santos FC;34.0;37.0
Goiás EC;São Caetano;25.0;24.0
Goiás EC;Figueirense FC;27.0;29.0
Goiás EC;Internacional;19.0;22.0
Juventude;Cruzeiro;11.0;13.0
Juventude;Coritiba FC;5.0;7.0
Juventude;Botafogo;16.0;17.0
Santos FC;Juventude;24.0;28.0
Santos FC;Fortaleza;13.0;12.0
Santos FC;Internacional;24.0;21.0
Fluminense;Paraná;12.0;15.0
Fluminense;São Caetano;31.0;28.0
São Paulo;São Caetano;12.0;11.0
São Paulo;Goiás EC;23.0;31.0
Corinthians;São Caetano;30.0;41.0
Coritiba FC;Goiás EC;16.0;21.0
Paysandu SC;Vasco da Gama;24.0;36.0
Paysandu SC;Corinthians;19.0;19.0
Paysandu SC;Atlético-MG;10.0;11.0
Atlético-MG;Brasiliense-DF;29.0;39.0
Atlético-MG;Paraná;4.0;6.0
Atlético-PR;Figueirense FC;24.0;29.0
Atlético-PR;Fortaleza;28.0;36.0
São Caetano;Botafogo;5.0;10.0
São Caetano;Cruzeiro;25.0;33.0
São Caetano;Goiás EC;29.0;26.0
São Caetano;Figueirense FC;20.0;16.0
São Caetano;São Paulo;25.0;33.0
Internacional;Botafogo;51.0;54.0
Internacional;Paraná;5.0;3.0
Internacional;Santos FC;24.0;24.0
Internacional;Corinthians;25.0;24.0
Vasco da Gama;Fortaleza;13.0;17.0
Brasiliense-DF;Fluminense;19.0;18.0
Brasiliense-DF;Paysandu SC;12.0;11.0
Brasiliense-DF;Internacional;1.0;1.0
Brasiliense-DF;Fortaleza;18.0;32.0
Brasiliense-DF;Botafogo;35.0;36.0
Figueirense FC;Flamengo;45.0;51.0
Figueirense FC;Cruzeiro;14.0;16.0
Figueirense FC;Coritiba FC;33.0;29.0
Figueirense FC;Atlético-MG;26.0;26.0
Paraná;Ponte Preta;20.0;17.0
Paraná;Atlético-MG;10.0;10.0
Paraná;Santos FC;15.0;18.0
Paraná;Palmeiras;13.0;11.0
Paraná;São Caetano;12.0;17.0
Botafogo;Brasiliense-DF;8.0;11.0
Botafogo;São Caetano;8.0;8.0
Cruzeiro;Brasiliense-DF;23.0;19.0
Flamengo;Paraná;22.0;23.0
Flamengo;Internacional;43.0;46.0
Fortaleza;Atlético-MG;31.0;39.0
Fortaleza;Internacional;18.0;21.0
Fortaleza;Atlético-PR;20.0;18.0
Fortaleza;Paysandu SC;30.0;33.0
Fortaleza;Palmeiras;3.0;7.0
Fortaleza;Goiás EC;7.0;8.0
