home,away,home_goals,away_goals,home_win,away_win,draw,weights1,weights2
Nîmes Olympique,Olympique Marseille,0,2,0.0,1.0,0.0,2,3.0
Stade Rennes,RC Lens,0,2,0.0,1.0,0.0,2,3.0
Montpellier HSC,Paris Saint-Germain,1,3,0.0,1.0,0.0,3,3.0
Lille OSC,AS Monaco,2,1,1.0,0.0,0.0,1,0.0
Angers SCO,FC Lorient,2,0,1.0,0.0,0.0,0,0.0
Girondins Bordeaux,Stade Brest,1,0,1.0,0.0,0.0,0,0.0
Dijon FCO,AS Saint-Étienne,0,0,0.0,0.0,1.0,0,1.0
FC Nantes,RC Strasbourg,0,4,0.0,1.0,0.0,4,3.0
Stade Reims,OGC Nice,0,0,0.0,0.0,1.0,0,1.0
FC Metz,Olympique Lyon,1,3,0.0,1.0,0.0,3,3.0
AS Saint-Étienne,Angers SCO,0,0,0.0,0.0,1.0,0,1.0
Olympique Marseille,AS Monaco,2,1,1.0,0.0,0.0,1,0.0
RC Lens,Montpellier HSC,2,3,0.0,1.0,0.0,3,3.0
OGC Nice,Stade Rennes,0,1,0.0,1.0,0.0,1,3.0
Stade Brest,Stade Reims,2,1,1.0,0.0,0.0,1,0.0
FC Lorient,Nîmes Olympique,3,0,1.0,0.0,0.0,0,0.0
FC Nantes,Dijon FCO,1,1,0.0,0.0,1.0,1,1.0
RC Strasbourg,FC Metz,2,2,0.0,0.0,1.0,2,1.0
Lille OSC,Girondins Bordeaux,2,1,1.0,0.0,0.0,1,0.0
Paris Saint-Germain,Olympique Lyon,0,1,0.0,1.0,0.0,1,3.0
Angers SCO,RC Strasbourg,0,2,0.0,1.0,0.0,2,3.0
Dijon FCO,Lille OSC,0,2,0.0,1.0,0.0,2,3.0
Montpellier HSC,FC Metz,0,2,0.0,1.0,0.0,2,3.0
Nîmes Olympique,OGC Nice,0,2,0.0,1.0,0.0,2,3.0
Stade Reims,FC Nantes,3,2,1.0,0.0,0.0,2,0.0
Girondins Bordeaux,AS Saint-Étienne,1,2,0.0,1.0,0.0,2,3.0
Olympique Lyon,Stade Brest,2,2,0.0,0.0,1.0,2,1.0
AS Monaco,RC Lens,0,3,0.0,1.0,0.0,3,3.0
Paris Saint-Germain,FC Lorient,2,0,1.0,0.0,0.0,0,0.0
Stade Rennes,Olympique Marseille,2,1,1.0,0.0,0.0,1,0.0
FC Metz,RC Lens,2,0,1.0,0.0,0.0,0,0.0
Olympique Marseille,Stade Reims,1,1,0.0,0.0,1.0,1,1.0
OGC Nice,Olympique Lyon,1,4,0.0,1.0,0.0,4,3.0
Stade Brest,Montpellier HSC,2,2,0.0,0.0,1.0,2,1.0
Dijon FCO,AS Monaco,0,1,0.0,1.0,0.0,1,3.0
FC Nantes,Angers SCO,1,1,0.0,0.0,1.0,1,1.0
AS Saint-Étienne,Nîmes Olympique,2,2,0.0,0.0,1.0,2,1.0
RC Strasbourg,Girondins Bordeaux,0,2,0.0,1.0,0.0,2,3.0
FC Lorient,Stade Rennes,0,3,0.0,1.0,0.0,3,3.0
Lille OSC,Paris Saint-Germain,0,0,0.0,0.0,1.0,0,1.0
Girondins Bordeaux,Stade Reims,1,3,0.0,1.0,0.0,3,3.0
RC Lens,Stade Brest,2,1,1.0,0.0,0.0,1,0.0
OGC Nice,FC Lorient,2,2,0.0,0.0,1.0,2,1.0
Nîmes Olympique,Dijon FCO,1,3,0.0,1.0,0.0,3,3.0
Stade Rennes,FC Metz,1,0,1.0,0.0,0.0,0,0.0
Angers SCO,Olympique Marseille,2,1,1.0,0.0,0.0,1,0.0
Olympique Lyon,FC Nantes,3,0,1.0,0.0,0.0,0,0.0
AS Monaco,AS Saint-Étienne,2,2,0.0,0.0,1.0,2,1.0
Montpellier HSC,Lille OSC,2,3,0.0,1.0,0.0,3,3.0
Paris Saint-Germain,RC Strasbourg,4,0,1.0,0.0,0.0,0,0.0
Stade Brest,OGC Nice,2,0,1.0,0.0,0.0,0,0.0
FC Lorient,AS Monaco,2,5,0.0,1.0,0.0,5,3.0
FC Metz,Girondins Bordeaux,0,0,0.0,0.0,1.0,0,1.0
FC Nantes,Stade Rennes,0,0,0.0,0.0,1.0,0,1.0
RC Strasbourg,Nîmes Olympique,5,0,1.0,0.0,0.0,0,0.0
Lille OSC,Angers SCO,1,2,0.0,1.0,0.0,2,3.0
Olympique Lyon,RC Lens,3,2,1.0,0.0,0.0,2,0.0
Olympique Marseille,Montpellier HSC,3,1,1.0,0.0,0.0,1,0.0
Stade Reims,Dijon FCO,0,0,0.0,0.0,1.0,0,1.0
AS Saint-Étienne,Paris Saint-Germain,1,1,0.0,0.0,1.0,1,1.0
Girondins Bordeaux,FC Lorient,2,1,1.0,0.0,0.0,1,0.0
Dijon FCO,Olympique Marseille,0,0,0.0,0.0,1.0,0,1.0
RC Lens,RC Strasbourg,0,1,0.0,1.0,0.0,1,3.0
FC Metz,OGC Nice,1,1,0.0,0.0,1.0,1,1.0
AS Monaco,Angers SCO,3,0,1.0,0.0,0.0,0,0.0
Montpellier HSC,FC Nantes,1,1,0.0,0.0,1.0,1,1.0
Nîmes Olympique,Lille OSC,0,1,0.0,1.0,0.0,1,3.0
Paris Saint-Germain,Stade Brest,3,0,1.0,0.0,0.0,0,0.0
Stade Reims,AS Saint-Étienne,3,1,1.0,0.0,0.0,1,0.0
Stade Rennes,Olympique Lyon,2,2,0.0,0.0,1.0,2,1.0
Montpellier HSC,AS Monaco,2,3,0.0,1.0,0.0,3,3.0
Olympique Marseille,Nîmes Olympique,1,2,0.0,1.0,0.0,2,3.0
Angers SCO,Paris Saint-Germain,0,1,0.0,1.0,0.0,1,3.0
Stade Brest,Stade Rennes,1,2,0.0,1.0,0.0,2,3.0
FC Nantes,RC Lens,1,1,0.0,0.0,1.0,1,1.0
OGC Nice,Girondins Bordeaux,0,3,0.0,1.0,0.0,3,3.0
RC Strasbourg,AS Saint-Étienne,1,0,1.0,0.0,0.0,0,0.0
Lille OSC,Stade Reims,2,1,1.0,0.0,0.0,1,0.0
Olympique Lyon,FC Metz,0,1,0.0,1.0,0.0,1,3.0
FC Lorient,Dijon FCO,3,2,1.0,0.0,0.0,2,0.0
Paris Saint-Germain,Montpellier HSC,4,0,1.0,0.0,0.0,0,0.0
RC Lens,OGC Nice,0,1,0.0,1.0,0.0,1,3.0
AS Monaco,Olympique Marseille,3,1,1.0,0.0,0.0,1,0.0
Girondins Bordeaux,Angers SCO,2,1,1.0,0.0,0.0,1,0.0
Dijon FCO,RC Strasbourg,1,1,0.0,0.0,1.0,1,1.0
FC Metz,FC Nantes,2,0,1.0,0.0,0.0,0,0.0
Stade Reims,Stade Brest,1,0,1.0,0.0,0.0,0,0.0
Stade Rennes,Lille OSC,0,1,0.0,1.0,0.0,1,3.0
AS Saint-Étienne,Olympique Lyon,0,5,0.0,1.0,0.0,5,3.0
Nîmes Olympique,FC Lorient,1,0,1.0,0.0,0.0,0,0.0
Olympique Lyon,Girondins Bordeaux,2,1,1.0,0.0,0.0,1,0.0
Montpellier HSC,RC Lens,1,2,0.0,1.0,0.0,2,3.0
OGC Nice,AS Saint-Étienne,0,1,0.0,1.0,0.0,1,3.0
Angers SCO,Nîmes Olympique,3,1,1.0,0.0,0.0,1,0.0
Stade Brest,FC Metz,2,4,0.0,1.0,0.0,4,3.0
FC Lorient,Paris Saint-Germain,3,2,1.0,0.0,0.0,2,0.0
RC Strasbourg,Stade Reims,0,1,0.0,1.0,0.0,1,3.0
Lille OSC,Dijon FCO,1,0,1.0,0.0,0.0,0,0.0
FC Nantes,AS Monaco,1,2,0.0,1.0,0.0,2,3.0
Olympique Marseille,Stade Rennes,1,0,1.0,0.0,0.0,0,0.0
Girondins Bordeaux,Lille OSC,0,3,0.0,1.0,0.0,3,3.0
FC Metz,Montpellier HSC,1,1,0.0,0.0,1.0,1,1.0
Stade Reims,Angers SCO,0,0,0.0,0.0,1.0,0,1.0
Stade Rennes,FC Lorient,1,1,0.0,0.0,1.0,1,1.0
RC Strasbourg,Stade Brest,2,2,0.0,0.0,1.0,2,1.0
Dijon FCO,Olympique Lyon,0,1,0.0,1.0,0.0,1,3.0
RC Lens,Olympique Marseille,2,2,0.0,0.0,1.0,2,1.0
Paris Saint-Germain,Nîmes Olympique,3,0,1.0,0.0,0.0,0,0.0
AS Saint-Étienne,FC Nantes,1,1,0.0,0.0,1.0,1,1.0
AS Monaco,OGC Nice,2,1,1.0,0.0,0.0,1,0.0
FC Lorient,Stade Reims,1,0,1.0,0.0,0.0,0,0.0
Olympique Lyon,RC Strasbourg,3,0,1.0,0.0,0.0,0,0.0
RC Lens,Stade Rennes,0,0,0.0,0.0,1.0,0,1.0
Stade Brest,Girondins Bordeaux,2,1,1.0,0.0,0.0,1,0.0
Montpellier HSC,Dijon FCO,4,2,1.0,0.0,0.0,2,0.0
OGC Nice,Angers SCO,3,0,1.0,0.0,0.0,0,0.0
Nîmes Olympique,AS Monaco,3,4,0.0,1.0,0.0,4,3.0
AS Saint-Étienne,FC Metz,1,0,1.0,0.0,0.0,0,0.0
FC Nantes,Lille OSC,0,2,0.0,1.0,0.0,2,3.0
Olympique Marseille,Paris Saint-Germain,0,2,0.0,1.0,0.0,2,3.0
Paris Saint-Germain,OGC Nice,2,1,1.0,0.0,0.0,1,0.0
Stade Reims,RC Lens,1,1,0.0,0.0,1.0,1,1.0
Olympique Lyon,Montpellier HSC,1,2,0.0,1.0,0.0,2,3.0
AS Monaco,FC Lorient,2,2,0.0,0.0,1.0,2,1.0
Angers SCO,FC Nantes,1,3,0.0,1.0,0.0,3,3.0
Dijon FCO,Nîmes Olympique,0,2,0.0,1.0,0.0,2,3.0
FC Metz,RC Strasbourg,1,2,0.0,1.0,0.0,2,3.0
Stade Rennes,AS Saint-Étienne,0,2,0.0,1.0,0.0,2,3.0
Lille OSC,Stade Brest,0,0,0.0,0.0,1.0,0,1.0
Girondins Bordeaux,Olympique Marseille,0,0,0.0,0.0,1.0,0,1.0
Stade Brest,Olympique Lyon,2,3,0.0,1.0,0.0,3,3.0
AS Saint-Étienne,Stade Reims,1,1,0.0,0.0,1.0,1,1.0
FC Nantes,Olympique Marseille,1,1,0.0,0.0,1.0,1,1.0
Montpellier HSC,Stade Rennes,2,1,1.0,0.0,0.0,1,0.0
RC Lens,Dijon FCO,2,1,1.0,0.0,0.0,1,0.0
OGC Nice,FC Metz,1,2,0.0,1.0,0.0,2,3.0
